Priority_Rank,Project_ID,Project_Name,Project_Type,City,State,Client_Type,Contract_Type,Delivery_Method,Project_Manager_ID,Project_Status,Current_Phase,Latest_Reporting_Date,Original_Budget,Current_Budget,Original_Contingency,Planned_Value,Earned_Value,Actual_Cost,Committed_Cost,Percent_Complete,Planned_End_Date,Forecast_End_Date,Contingency_Used,Latest_Open_RFI_Count,CO_Count,Approved_CO_Count,Total_Approved_CO_Value,Total_Pending_CO_Value,Approved_CO_Schedule_Days,Avg_CO_Approval_Days,RFI_Count,Open_RFI_Total,Avg_RFI_Response_Days,Late_RFI_Count,Impacted_RFI_Count,Total_RFI_Cost_Impact,Total_RFI_Schedule_Days,CPI,SPI,Cost_Variance,Schedule_Variance,EAC,ETC,VAC,Forecast_Overrun_Pct,Cost_Growth_Pct,Schedule_Delay_Days,Approved_CO_Pct,Pending_CO_Pct,Contingency_Utilization_Pct,Contingency_Burn_Ratio,Late_RFI_Rate,Impacted_RFI_Rate,RFI_per_10M,CO_per_10M,Health_Status,Critical_Trigger_Count,Watch_Trigger_Count,Primary_Risk_Driver,All_Risk_Triggers
1,PRJ-075,Canyon Ridge Transit-Oriented Development,Mixed-Use,Phoenix,AZ,Private,Unknown,Design-Bid-Build,PM-009,Active,Closeout,2025-12-31,104919600,108457000,6894200,104919600,104623200,139014400,145727700,99.7,2025-11-12,2026-01-24,7382000,8,9,6,3537400,856600,68,57.66666667,29,8,15.5862069,20,8,157000,52,0.75260692,0.99717498,-34391200,-296400,139408231.08297205,393831.08297205,-34488631.08297205,0.32871485,0.03371534,73,0.03371534,0.00816435,1.07075513,1.07397706,0.68965517,0.27586207,2.76402121,0.85779969,Red,4,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%
2,PRJ-009,Northstar Housing,Residential,Salt Lake City,UT,Private,Guaranteed Maximum Price,Design-Build,PM-002,Complete,Closeout,2023-06-30,34594800,35471700,2739400,34594800,34594800,45833700,47654700,100.0,2023-04-12,2023-06-14,2892700,5,9,5,876900,363700,50,60.2,28,4,18.75,23,11,368600,59,0.7547896,1.0,-11238900,0,45833700.0,0.0,-11238900.0,0.32487252,0.02534774,63,0.02534774,0.01051314,1.05596116,1.05596116,0.82142857,0.39285714,8.09370194,2.60154705,Red,4,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%
3,PRJ-046,Red Rock Residences,Residential,Boise,ID,Private,Lump Sum,Design-Build,PM-002,Complete,Closeout,2023-08-31,64273500,66560500,5073200,64273500,64273500,82506800,85789200,100.0,2023-05-20,2023-08-12,5433100,4,9,8,2287000,48500,104,61.625,20,4,15.95,16,7,149100,40,0.77900852,1.0,-18233300,0,82506800.0,0.0,-18233300.0,0.28368301,0.03558232,84,0.03558232,0.00075459,1.07094142,1.07094142,0.8,0.35,3.11170233,1.40026605,Red,4,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%
4,PRJ-068,Canyon Ridge Bridge Rehabilitation,Heavy Civil & Infrastructure,Aurora,CO,Public,Unit Price,Design-Bid-Build,PM-012,Complete,Closeout,2024-09-30,54366700,56660800,2718500,54366700,54366700,68449800,70503300,100.0,2024-08-04,2024-09-28,2594800,5,9,7,2164000,478500,49,42.85714286,31,4,17.09677419,26,14,450400,68,0.79425652,1.0,-14083100,0,68449800.0,0.0,-14083100.0,0.25903908,0.04219679,55,0.03980378,0.00880134,0.95449697,0.95449697,0.83870968,0.4516129,5.7020198,1.6554251,Red,4,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%
5,PRJ-034,Mountain Gate Community College,Institutional,Fresno,CA,Public,Unit Price,CMAR,PM-012,Complete,Closeout,2024-07-31,59981900,62406100,4517500,59981900,59981900,74482300,76890300,100.0,2024-06-09,2024-07-17,4126800,5,9,6,2424200,388000,62,51.5,25,2,15.44,21,10,284700,44,0.8053175,1.0,-14500400,0,74482300.0,0.0,-14500400.0,0.24174626,0.04041553,38,0.04041553,0.00646862,0.91351411,0.91351411,0.84,0.4,4.16792399,1.50045264,Red,4,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%
6,PRJ-017,Westfield Retail Center,Commercial,Fresno,CA,Private,Unknown,CMAR,PM-003,Active,Closeout,2025-12-31,36594000,37286000,1781600,36585500,36143900,44424800,46337200,98.8,2026-01-07,2026-02-24,1631500,7,10,4,692000,261800,41,42.0,21,6,13.80952381,15,7,504100,37,0.81359736,0.98792964,-8280900,-441600,44978022.05074715,553222.05074715,-8384022.05074715,0.2291092,0.0189102,48,0.0189102,0.00715418,0.91574989,0.92687236,0.71428571,0.33333333,5.73864568,2.73268842,Red,4,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%
7,PRJ-064,Evergreen Townhomes,Residential,Riverside,CA,Private,Unit Price,Design-Build,PM-009,Complete,Closeout,2024-05-31,9022900,9260200,537500,9022900,9022900,11060300,11724100,100.0,2024-04-15,2024-05-19,496900,4,10,5,237300,74300,71,57.6,16,4,13.125,11,7,128500,36,0.81579162,1.0,-2037400,0,11060300.0,0.0,-2037400.0,0.22580323,0.02629975,34,0.02629975,0.0082346,0.92446512,0.92446512,0.6875,0.4375,17.73265801,11.08291126,Red,4,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%
8,PRJ-013,Sunrise Housing,Residential,Meridian,ID,Private,Cost Plus,Design-Bid-Build,PM-005,Complete,Closeout,2024-07-31,9869600,10215500,609900,9869600,9869600,12046900,12408300,100.0,2024-05-11,2024-07-11,559400,0,9,7,345900,37400,59,42.42857143,20,0,18.5,19,6,331000,47,0.81926471,1.0,-2177300,0,12046900.0,0.0,-2177300.0,0.22060671,0.03504701,61,0.03504701,0.00378941,0.91719954,0.91719954,0.95,0.3,20.26424576,9.11891059,Red,4,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%
9,PRJ-069,Cedar Valley Town Center,Mixed-Use,Phoenix,AZ,Private,Unit Price,Design-Bid-Build,PM-007,Active,Construction,2025-12-31,161964100,168322000,13234300,125005400,105957600,124778800,166916000,65.4,2026-08-14,2026-11-26,8089000,5,12,10,6357900,0,70,55.6,27,4,18.22222222,22,9,470800,31,0.84916348,0.84762418,-18821200,-19047800,190733708.965473,65954908.965473,-28769608.965473,0.17762954,0.039255,104,0.039255,0.0,0.6112148,0.9345792,0.81481481,0.33333333,1.66703609,0.74090493,Red,4,0,CPI < 0.90,CPI < 0.90; SPI < 0.90; Forecast overrun > 10%; Delay > 30 days
10,PRJ-025,Blue Mesa Public Safety Center,Institutional,Tacoma,WA,Public,Cost Plus,CMAR,PM-008,Active,Procurement,2025-12-31,21839800,22229200,1701300,10668500,9269500,10383500,16158300,42.4,2027-04-08,2027-07-04,562200,5,7,4,389400,382800,10,30.25,23,4,17.0,18,5,141800,19,0.8927144,0.86886629,-1114000,-1399000,24464487.1136523,14080987.1136523,-2624687.1136523,0.12017908,0.01782983,87,0.01782983,0.01752763,0.33045318,0.77937071,0.7826087,0.2173913,10.53123197,3.20515756,Red,4,0,CPI < 0.90,CPI < 0.90; SPI < 0.90; Forecast overrun > 10%; Delay > 30 days
